transaction_id,transaction_amount,transaction_time,card_used_before,merchant_id,num_purchases_last_6m,account_age_days,avg_monthly_spending,num_chargebacks,merchant_fraud_rate,user_fraud_rate,transaction_country,is_international,num_declined_transactions,is_fraud
57,4290.412840852721,3397,0,1108,35,3229,2017.5539277282319,1,0.3283798390803967,0.9562169584605281,118,0,9,1
58,1515.4874478969857,54569,0,1651,29,1190,5480.529045218394,3,0.11656061477085089,0.8642263592383187,187,1,4,0
59,1105.3679181122773,77948,0,1604,47,3256,2258.6899168456816,2,0.02166741718416798,0.22897148783803511,193,1,8,0
60,3351.325632408397,52133,0,1980,20,1412,7669.797713610892,3,0.18463235716042958,0.9135657962723019,128,1,2,0
61,4573.747387850712,48519,1,1102,22,11,3190.1297180984866,3,0.1869663060637129,0.35959730110645916,112,0,7,1
62,1741.439043280287,71057,0,1225,20,2216,3006.890294947389,1,0.8580684448663156,0.72654185136988,38,0,5,1
63,1362.9686476678994,29151,1,1352,7,830,109.14637025607466,2,0.15615474919750627,0.8480103167764178,166,0,7,0
64,1131.347036547862,3472,0,1159,38,1449,2774.2492630639294,1,0.8626509418784305,0.4363704265143349,149,0,1,1
65,1273.2000475754576,51769,0,1403,12,448,2254.938166877903,0,0.0867165084431396,0.051508546462383564,151,1,8,1
66,675.5317814586119,5481,1,1706,39,3565,3498.08557471051,3,0.9066442998506337,0.9496614344916325,174,1,0,0
67,2984.294359814159,38977,1,1323,21,2496,1561.800864940572,2,0.25635350192133743,0.07248005282435932,197,0,2,0
68,1404.8495172376172,19883,1,1144,6,3177,5987.021797582699,3,0.6114980619902031,0.348109591164924,158,1,3,1
69,3075.106863927865,24265,0,1753,23,1789,2463.5412805741935,0,0.15972718477881198,0.5964472977716597,168,0,5,0
70,416.07871521332794,52744,0,1464,4,426,8334.333561006943,0,0.39005563167360646,0.11753670763743307,82,1,3,1
71,578.1685037972775,23656,1,1914,49,3003,2917.1236727023593,2,0.08576780468344947,0.838206326589268,70,0,1,0
72,2681.173497056926,9304,0,1131,25,915,2187.609034650637,2,0.5795282042568424,0.2034221557764484,69,0,2,0
73,2558.143191435594,45911,0,1092,9,3169,661.8384832004041,0,0.34587748652818795,0.9860036633090774,170,0,2,0
74,1358.2781237627053,43013,0,1272,10,630,7425.076231215264,3,0.8521500836121598,0.9164334405650841,146,0,5,0
75,4135.827127251092,77981,0,1703,39,225,5131.260932871804,4,0.18181647829922776,0.6045560872178634,187,1,4,0
76,936.0487771728798,40314,0,1533,37,446,1226.4516740667798,3,0.27998806442131174,0.6600100892873799,13,0,4,0
77,1803.9449597917471,22857,1,1193,10,1910,2291.2143479133647,4,0.1772546773772935,0.5336064680086736,119,0,3,0
78,2778.0030186559384,28894,0,1169,47,1499,9987.318813392441,1,0.5638227802360302,0.3911039686328326,102,1,3,0
79,4336.188301474308,38570,1,1459,29,2250,8079.684395157436,2,0.11174718376248716,0.3517080970739177,21,0,8,1
80,2093.3363248587166,66080,0,1940,3,3015,3563.7079090991338,0,0.18935700526085486,0.8916549067402622,196,0,6,1
81,1993.6061762490808,39420,0,1010,1,674,5471.292823091905,1,0.678489943442012,0.5766197261137679,77,1,7,1
82,2898.1076027309414,81588,0,1180,12,1320,4218.569873115873,3,0.07441452653594016,0.8232937322133719,82,1,3,1
83,1584.1603818990184,56210,0,1231,38,2681,460.25669746847905,4,0.7431636720944795,0.5140710438727184,77,0,2,1
84,3546.1570925447877,27734,1,1955,16,2063,7808.902391207774,2,0.10433348908441364,0.3070249222420519,189,1,0,1
85,1244.2310073943568,36219,0,1028,22,1401,7198.162520909951,4,0.5854887595838042,0.09175947662971984,99,0,8,1
86,4116.156788704121,66972,0,1531,44,3407,4147.142913509189,3,0.9978094555829484,0.32369680300831727,166,0,8,1
87,1362.4947122541723,55813,1,1004,9,2665,8474.381655118212,3,0.1738929067890006,0.8801175140650984,168,1,1,1
88,4963.513110290271,11007,0,1920,12,1043,5393.9170394032235,0,0.2610863186663144,0.7119611738837694,155,0,3,0
89,1582.9959091638855,28341,0,1545,41,2487,745.5635501768539,1,0.8984266539890527,0.7858299098710125,186,1,3,1
90,4394.251867137334,49411,0,1139,38,1267,2668.1222734441253,2,0.6262865345042719,0.7734342161005573,194,1,0,1
91,1987.3824145761803,73087,1,1027,41,1267,4671.5510772498765,0,0.4925312988043108,0.11997241723147611,43,1,1,0
92,1231.0281553126206,78649,0,1097,28,3018,1124.1474632368918,4,0.5627050972700364,0.15886056605782994,122,0,7,1
93,1131.5900890513158,48431,1,1261,15,391,5753.70380934276,1,0.29549534463832217,0.3172392488340219,124,0,5,0
94,4251.106217967541,4841,1,1757,2,723,1293.6248006656745,2,0.8553217819519134,0.3010287786679122,20,1,0,0
95,1544.4561785780709,40729,0,1018,35,2783,2085.0310362940604,4,0.7452690250335288,0.06608103825573175,163,1,6,1
96,1693.4764817897753,82638,0,1011,3,1888,8950.438247248461,2,0.6424664323339154,0.15347150956920685,55,1,6,1
97,985.7682861388638,84647,0,1536,35,1285,9998.142641608216,2,0.9317425982271347,0.8562302835667795,74,1,5,0
98,4806.662265862968,76629,0,1524,15,2267,5547.5081060622,1,0.5781108605426755,0.5890448379817035,72,0,7,1
99,1224.4749590535516,73082,1,1464,40,1031,6234.5212403044725,4,0.5118771085453168,0.3422829927796416,168,0,4,1
100,1237.9706512890787,57804,0,1587,5,2493,7994.568354571659,0,0.9756934023340081,0.5264778978633755,46,1,1,1
101,4719.545553383225,52006,0,1258,41,13,6991.781012420484,0,0.20601411326638663,0.26131339157828903,79,0,3,1
102,4504.593376120919,21584,0,1023,27,2434,1906.418792081692,0,0.1419681731977046,0.583842317347175,170,1,7,0
103,1245.305505016371,60591,1,1007,35,641,4175.5480929305995,2,0.16228286953378346,0.07463088323589862,146,1,7,0
104,4323.763122020428,19361,0,1879,22,1045,5397.653537193165,3,0.989442008016196,0.9026506989645513,15,0,4,1
105,1249.8662422174982,80020,0,1227,11,224,3661.1487222524092,1,0.6522510548976943,0.24044658468361468,99,1,5,1
106,423.23636009951935,47871,0,1375,41,2282,1843.4510806021697,0,0.3059228818815132,0.8190755019376128,66,1,8,1
107,4101.986380630729,14101,0,1122,30,3412,7387.522106207592,1,0.24897780434935557,0.6599988663245172,141,0,9,0
108,3858.019230918616,42774,0,1089,11,3047,2068.5794102856426,2,0.05663859009067185,0.5230069424233339,109,1,9,1
109,1474.0409413356658,42701,0,1812,31,2758,2678.8106941478604,1,0.1319473287040076,0.9297964607177956,57,1,9,1
110,451.604786627924,13261,0,1455,24,1157,2936.544189771482,0,0.9081725813367866,0.15681318032115366,137,0,1,0
111,1032.9879835012616,13209,1,1223,28,3249,1701.6143817120787,0,0.7473410607195897,0.11927747026899971,121,0,4,0
112,3855.5117979614206,28647,1,1735,18,3627,8510.561067653794,2,0.9415597345039968,0.32186013182343765,99,0,8,1
113,4823.774326897191,8221,0,1256,21,1543,6145.101556760492,2,0.42373093645520876,0.8302212265183548,66,0,2,0
114,1295.751356900663,47833,0,1514,23,791,8364.006486922173,4,0.6012372460612102,0.03520145619023474,144,0,5,1
115,4091.4757463762103,85413,0,1832,32,1562,4987.920203740181,2,0.48367125899899055,0.23940570730933997,110,1,3,0
116,1140.4353540284349,25557,1,1782,35,436,5243.67409719528,3,0.88138539648782,0.42470219168666756,130,1,3,0
117,3398.322358733593,7526,0,1817,44,1074,6199.831838330207,3,0.9913818871728132,0.7129409885382083,144,0,2,0
118,418.98373168860013,1251,0,1147,39,1947,3772.10348491395,0,0.9327752076503695,0.2993130676108403,72,0,9,0
119,2926.8929062709176,32588,1,1386,45,3514,5016.182538827925,2,0.5980558477826199,0.448112446230714,1,0,0,0
120,1346.680266082396,54492,1,1700,15,2039,5514.45977777005,3,0.06180197718822167,0.3368504908711615,105,0,7,0
121,4629.303897719551,6889,0,1910,1,580,9540.070118154787,3,0.6175266130221466,0.09206025472570234,154,0,4,1
122,1449.4646930059891,29146,0,1698,7,2002,8840.79050506285,4,0.0970474215311159,0.7386759848312535,172,1,1,1
123,1992.8050336166707,52318,1,1437,12,3352,1379.533889997776,2,0.1388214736356992,0.4613793964444831,133,0,0,0
124,4203.55487666175,73588,1,1699,29,3115,508.69642124591957,4,0.19134469818913502,0.8125121195280964,21,0,0,0
125,2191.9346381514247,37638,1,1635,0,686,6835.306122405972,1,0.363493421054757,0.6946929170541387,35,1,3,1
126,1192.8228467227973,1147,1,1036,11,364,587.0667997842861,4,0.5917864836504955,0.05781520018952668,104,0,3,1
127,2738.1740601505917,2847,0,1660,48,268,697.4755430313149,1,0.33355367417373805,0.5000759004962785,54,1,5,0
128,4200.11598705426,85770,0,1105,6,1716,1676.707628757014,1,0.4522671073360326,0.9908556236153736,124,0,6,0
129,2166.4548824112576,60335,1,1614,47,3636,3581.9001995806666,2,0.04728903308493426,0.30787026186594146,178,1,0,1
130,665.3095575351332,84990,0,1918,13,3364,4406.461507326968,1,0.6197578007244221,0.4929581004896423,108,0,9,0
131,1916.0514786594695,33388,0,1888,41,3265,5241.842543672924,1,0.657031765505942,0.6520324436740403,44,0,1,1
132,4772.421190337863,64347,1,1231,34,1394,9923.65311042452,4,0.09939014804994806,0.2022656003798956,85,1,2,0
133,361.0360802084952,39983,1,1866,27,1575,3913.8042716496575,2,0.7851171559931979,0.7025072103650418,4,1,8,0
134,2042.817417067651,43820,1,1145,11,77,2503.255655545629,2,0.6474595576619854,0.6597766764416793,123,0,3,0
135,3240.495940906887,26076,0,1016,39,188,5794.998844988818,1,0.4897294292813633,0.3749604667194877,42,1,5,0
136,393.5101133329024,30752,0,1158,47,1630,2229.9944308093486,4,0.552859874181546,0.2844392673130991,169,0,1,1
137,1725.4177824683375,60533,0,1959,23,3461,9411.379974739659,4,0.5030457345527957,0.919102701278099,164,1,1,1
138,4702.951191347375,16003,1,1815,0,3096,2666.617590251135,4,0.05379294372773402,0.12702357269713704,24,1,1,1
139,154.14782533851016,72954,0,1281,16,1325,9900.347942967388,4,0.7351494609308836,0.432030791312185,133,0,4,1
140,3758.9576556502093,17710,1,1277,37,2718,4244.81508477037,0,0.5118106368805367,0.7669836282221285,185,0,8,1
141,4207.033455713845,65657,0,1124,27,2405,8145.59147290114,1,0.17282385349695817,0.14813709547538711,67,1,5,1
142,1386.0265663633331,37081,1,1684,32,958,6517.975217953123,1,0.6807308537467995,0.9329275335409416,11,0,8,0
143,1074.3571332295414,50228,0,1419,23,3165,9341.592327002883,1,0.695065606062055,0.5262524067645779,173,1,5,0
144,4574.1896470374495,83102,0,1319,46,3622,6291.72683379598,2,0.21349546941285658,0.5048156544871008,96,0,8,1
145,3820.244475708141,20655,1,1674,44,2383,5854.057996474321,2,0.7964950727244432,0.424277410799312,22,0,4,0
146,567.7901673254046,8483,1,1714,5,3235,6563.2392012282735,4,0.4565047258810149,0.8674501914945482,139,1,0,1
147,1061.774080326498,40094,0,1986,20,902,7886.008768230994,2,0.18060961250705754,0.9484414088137272,166,0,5,1
148,3107.1544198077795,41450,0,1481,44,340,8998.532158688999,3,0.657620003313039,0.3800680262177779,187,1,3,0
149,2097.6652275555653,25209,1,1849,3,2881,2741.4675109552663,1,0.5967269645343475,0.5423936502500714,86,1,8,1
150,2521.367677819061,46316,0,1666,32,2614,2088.782209613092,1,0.17040632582345494,0.31542313283215717,132,0,5,0
151,4757.7606330762355,18556,0,1323,9,2119,440.06198709319875,0,0.8723488997776678,0.36801676167135033,195,0,0,1
152,2101.7570804966776,27962,1,1912,35,1065,3763.784110131642,0,0.854534332706372,0.02833356062258019,138,1,5,1
153,4408.528297075531,15638,1,1965,12,410,8477.231726096701,3,0.8362445878560428,0.7859354844104168,19,1,2,1
154,3304.0628485842058,38754,0,1394,35,897,791.5885435051773,0,0.3992278589631012,0.969333140759046,82,1,2,0
155,608.9756741090673,72617,1,1772,47,2885,5431.348756987182,4,0.8246227747563402,0.7695265518476871,156,1,6,0
156,3722.7906762019506,54376,0,1185,8,643,6978.4074986875385,4,0.8447953083813705,0.5182114207614579,95,1,1,0
157,2601.5251607076175,13353,0,1888,30,20,8384.84502789848,1,0.9965402721123013,0.8275099931411147,17,0,8,0
158,1126.261154709551,85388,1,1465,3,3072,5875.960187557415,4,0.9576046181736485,0.8578790430830735,24,1,8,1
159,1448.457066088408,71296,0,1056,19,677,1944.5681009102323,0,0.3828473350377043,0.5445226309282789,129,1,6,0
160,2787.104791329006,13771,0,1728,7,3643,9648.90895636042,3,0.19820424983052432,0.9371574856798817,5,1,8,0
161,3008.9107482388195,66026,0,1457,26,1099,1037.049952980175,4,0.29246239285637576,0.030170193056990313,160,1,5,0
162,4840.91384374337,4263,0,1207,35,2650,7713.096156789886,1,0.49478122666589264,0.010096009828537644,53,1,8,0
163,4273.745961916556,7769,0,1713,8,3469,956.9363160487552,1,0.8054576338571121,0.08145936416467292,81,1,9,1
164,1029.9905956893858,25334,1,1073,42,87,1519.8491660430407,0,0.7229840557260949,0.05785771545345164,185,1,1,0
165,3870.1863607651603,83117,1,1483,23,1617,8992.334377579955,4,0.7877127588113612,0.42461098778220085,171,1,4,1
166,42.45074895007606,32749,0,1084,36,2064,7555.439120157423,0,0.3799263729886021,0.9403211039219868,86,1,5,0
167,649.9124973645548,11635,0,1631,40,3400,3718.5318851966354,1,0.246904644282953,0.6752235499919363,103,1,5,0
168,999.3023799153497,65110,1,1013,39,2990,6423.371130896419,3,0.024129673718459754,0.6594528612444567,167,0,3,0
169,2986.3995639430304,1904,0,1839,29,3281,4626.747494935874,4,0.6261836220788284,0.3848860423368796,162,0,3,0
170,974.2303464946333,70805,1,1640,25,2871,758.7238328735056,3,0.7950377358331255,0.5337664561792362,80,0,4,0
171,1826.9994372345004,30968,1,1911,3,2430,7239.163401753088,4,0.8891404940900826,0.3041746965444232,5,1,5,0
172,1214.6561309282554,1650,1,1793,0,1588,7656.231664987919,1,0.4762378833513903,0.517837739402665,18,1,7,0
173,1687.7457052754366,12467,0,1048,19,2687,8835.179722904963,4,0.9276457782072546,0.7466609087147391,132,1,9,0
174,4712.314772225595,46900,0,1425,27,1169,5452.309731451673,1,0.2024120616323586,0.5586924642532988,109,1,0,0
175,4986.884386624555,35518,0,1965,44,2500,6764.065714914414,2,0.5143781231445309,0.41887183922356286,91,1,7,1
176,3428.924809214282,68415,0,1358,23,2863,4436.699141911192,1,0.2137677448698141,0.844922063927097,70,0,1,0
177,2861.9670494069487,4357,1,1241,27,1416,3257.2016651674817,1,0.188075512585967,0.2874428797947518,139,1,6,0
178,3542.5307812355995,10865,0,1833,27,309,4175.829952362282,4,0.9533881320023518,0.48148692792446013,175,1,3,0
179,3858.489349894123,68368,0,1052,4,2978,9126.348330978428,3,0.8177406887300978,0.9781472706382006,81,1,7,1
180,3695.3247053039627,61039,0,1776,31,491,1725.2957219374678,1,0.011799896441264557,0.9673216285226898,31,1,5,1
181,410.38074847182406,71294,1,1068,29,759,2560.148194443401,4,0.26851299513845694,0.006284616660992226,13,1,4,0
182,1552.1568030145834,2921,0,1551,20,3501,6101.288834639548,1,0.20513525105372288,0.5322334089322533,23,1,9,0
183,1717.813477566959,4428,1,1695,41,0,1251.1850834557433,0,0.14713418014459256,0.3369192588751594,65,0,9,1
184,1846.903116276556,73647,0,1644,15,2088,8929.458665359029,0,0.6974124293646425,0.29122386974675996,196,1,4,1
185,1722.2245794790585,52557,0,1055,7,671,567.6400814462995,0,0.5668378313354667,0.5962521786086805,30,0,3,0
186,3935.674394954188,12366,0,1878,11,211,7577.591703322571,0,0.4539345707501107,0.44630432319418434,159,1,2,1
187,3738.275734754007,46923,0,1455,31,1356,3799.9076667780687,3,0.18949705843981424,0.7328420815506413,47,1,2,0
188,23.99691416036628,30564,0,1254,24,3517,606.5391787534652,1,0.2776180562816566,0.027134190362162913,144,1,2,1
189,1482.6112359501003,75511,1,1004,2,1965,8444.986147815498,0,0.35610104902459283,0.9268908465642467,171,0,6,0
190,3118.6945752788424,2642,0,1580,25,303,6440.5563233365065,4,0.7854826858323044,0.56759329212785,131,1,7,0
191,602.2078443220089,13849,1,1051,35,3626,187.7012205665708,0,0.9891894335735694,0.6840667022149747,12,0,7,0
192,356.9202741331764,19344,0,1976,16,690,2748.575199007671,2,0.1839770546762698,0.6045864747118083,139,1,1,0
193,4142.1621993729095,21214,0,1328,26,1781,3585.2515164777387,2,0.3415226688933034,0.9891316063096304,16,1,2,0
194,2263.9686765881734,38226,1,1097,21,1833,3293.5236741027848,3,0.2802015465446124,0.9862984412963813,157,1,1,1
195,4278.5811522363465,22522,0,1160,44,3225,5033.586087393455,2,0.0440673945922756,0.609891435005298,117,1,5,0
196,4117.940083155651,6680,1,1405,37,615,5315.349282980773,4,0.21921885693465537,0.6839632948230907,149,0,2,1
197,4466.959240180788,12507,1,1980,34,522,4027.8647761522666,0,0.9016139433848065,0.6185698453701755,109,1,5,1
198,242.32454323967474,74955,0,1782,45,2072,3384.5263539007833,2,0.8428581788723963,0.31068092393958635,58,0,3,1
199,931.4642004758144,49007,0,1576,6,807,5093.652350071548,2,0.16759731511475628,0.1926135564729362,171,0,9,1
200,1481.4196788427012,49353,0,1326,2,24,432.79250582373373,3,0.36616301261629036,0.4027631518135495,5,1,9,0
201,682.0157088014628,68696,0,1918,5,2643,6487.4974243129855,2,0.3108030552719607,0.6827568223016112,180,0,5,1
202,2427.8636341077854,44233,0,1242,12,3177,6099.226917346081,0,0.14774080805415646,0.05597735431240225,141,0,2,1
203,3995.085473305254,50865,1,1503,45,1776,2864.2760172789804,1,0.6222082096378274,0.5143052068109943,81,1,4,1
204,4755.957872437673,7872,1,1366,14,3190,1877.2029253063079,0,0.5572977603652867,0.4083973274063898,140,0,7,0
205,4447.981098247854,7839,0,1773,25,107,822.5512290165544,2,0.42699133273837164,0.5274848412856187,1,0,2,0
206,2287.226063399026,15652,0,1723,47,1353,5914.7031379305035,2,0.8554983281082207,0.8602266330915478,8,1,8,1
207,3182.81901575339,6859,1,1441,32,179,5732.1126985935,2,0.6197113400129075,0.04761013755705823,144,1,8,1
208,1154.2499211198158,33520,1,1153,14,880,5379.849092094477,3,0.25927368256740646,0.7636240493617018,143,0,6,0
209,2015.6419906596673,78840,1,1233,38,2178,9857.620855052794,4,0.37370473719986874,0.6669098919336266,19,0,7,1
210,4356.041794504596,49266,0,1651,40,1830,5362.286699113048,0,0.1501567297831331,0.20384798097312085,153,0,8,0
211,146.95841257538441,69516,0,1332,46,602,7245.728226699939,2,0.5913732731101639,0.7341836695281027,31,0,0,1
212,2664.2636039447284,39093,1,1494,13,2800,1217.8908911526262,1,0.5866290879706143,0.4963719468789578,130,0,6,1
213,4364.118691197207,51970,1,1114,18,2806,3059.8108129370776,3,0.8701836859724013,0.4810247956777449,121,1,9,0
214,610.9273593799516,49620,0,1368,27,167,2826.9214877869204,4,0.8558167010420125,0.48307051494669184,59,0,2,0
215,4912.748463553658,425,1,1332,23,222,5802.157507994283,2,0.8369420334599478,0.9492340622512762,31,0,5,1
216,62.944928441864796,73677,0,1129,49,468,3375.050960735032,0,0.5489523197015302,0.9443645063367928,196,1,8,0
217,4430.713937304358,50727,1,1927,40,277,6446.557626013495,1,0.6520198107574433,0.9136080466852671,196,1,9,1
218,1769.0091994004397,75593,0,1177,32,2237,6931.888418096859,3,0.7755419439682781,0.8867420735450939,140,0,7,0
219,664.3202178071358,49985,1,1094,11,2578,433.52938805629776,0,0.0916848309556858,0.03758809157106824,145,1,1,0
220,787.633518097421,47084,1,1316,9,1549,6433.601353150508,0,0.30059789517785585,0.40059492711214273,29,0,3,0
221,3506.1924130529997,69642,1,1906,6,2020,1256.1948865605293,3,0.16908994281967182,0.8948770635256542,164,1,4,1
222,4353.727663603065,85623,1,1100,45,1778,4704.839488370116,0,0.5114676943461058,0.7551265556609251,104,1,9,1
223,3205.6907026801327,1408,0,1195,0,620,7293.108050612408,1,0.8376679566326077,0.45665980232840386,63,1,5,1
224,4643.696131832404,85401,1,1801,14,1213,7063.115459856946,1,0.23071196964975793,0.7732530372171661,15,1,6,0
225,4212.551496489438,55337,0,1207,0,217,3068.243195474865,0,0.7309035351707276,0.20818582581362077,30,1,3,1
226,46.15000289631146,39612,1,1606,44,3370,2796.4219195620967,2,0.4058239963864885,0.5997992454427936,179,0,3,0
227,3347.4788924862437,39163,1,1472,19,1334,4458.242427770659,0,0.9030749003587134,0.5329982818916604,11,0,4,0
228,1523.8688088827485,15843,0,1614,1,2283,1967.8041218760936,2,0.6267895408465955,0.5735470220107426,185,1,8,0
229,2273.04555859033,49364,1,1007,2,167,9749.52022581395,0,0.9765530055956635,0.7217954199464544,13,1,8,0
230,471.05970992299945,28477,1,1135,35,2827,3514.679006008381,4,0.24566977572778104,0.9498020912480771,55,1,0,1
231,1411.2137101963804,61082,0,1609,15,2240,9237.633412720554,1,0.9239583782387957,0.2640117679469772,63,1,4,1
232,3163.797151195105,27330,1,1910,28,2289,9091.823133303622,0,0.35705576464805433,0.7580507753666297,130,0,4,1
